,Ironman,Identity,Align,Eye,Hair,Sex,Alive,Appearances,First Appearance,Year
269,izanagi-no-mikoto (earth-616),secret identity,None,brown eyes,black hair,male characters,living characters,7.0,oct-80,1980.0
270,yana li (earth-616),secret identity,neutral characters,None,brown hair,female characters,living characters,3.0,aug-09,2009.0
271,walter macken (earth-616),no dual identity,good characters,None,None,male characters,living characters,18.0,sep-10,2010.0
272,pele (oceanic goddess) (earth-616),secret identity,good characters,brown eyes,black hair,female characters,living characters,4.0,sep-98,1998.0
273,jonathan raven (earth-616),secret identity,None,None,brown hair,male characters,living characters,3.0,jan-07,2007.0
274,hiroim (earth-616),public identity,None,None,black hair,male characters,living characters,35.0,apr-06,2006.0
275,gosamyr (earth-616),secret identity,None,black eyes,blond hair,female characters,living characters,14.0,aug-88,1988.0
276,cole (omega core) (earth-616),public identity,good characters,None,brown hair,male characters,living characters,7.0,may-04,2004.0
277,eric beale (earth-616),None,bad characters,None,grey hair,male characters,living characters,3.0,oct-84,1984.0
278,geoffrey wilder (earth-616),secret identity,neutral characters,brown eyes,black hair,male characters,deceased characters,38.0,jul-03,2003.0
279,james (trapeze artist) (earth-616),no dual identity,neutral characters,None,None,male characters,deceased characters,5.0,apr-74,1974.0
280,jean grey (skrull) (earth-616),secret identity,bad characters,green eyes,red hair,female characters,deceased characters,6.0,jun-08,2008.0
281,arnie roth (earth-616),no dual identity,good characters,None,None,male characters,deceased characters,26.0,apr-82,1982.0
282,daisy johnson (earth-616),secret identity,good characters,blue eyes,black hair,female characters,living characters,75.0,jul-04,2004.0
283,temujai (robot) (earth-616),None,neutral characters,None,None,male characters,living characters,1.0,dec-56,1956.0
284,cain (abel) (earth-616),no dual identity,neutral characters,None,black hair,male characters,living characters,2.0,jun-02,2002.0
285,carrie bradley (earth-616),public identity,None,None,red hair,female characters,living characters,5.0,nov-95,1995.0
286,krueger (earth-616),secret identity,bad characters,None,white hair,male characters,living characters,5.0,jul-00,2000.0
287,felicia hardy (earth-616),public identity,bad characters,None,blond hair,female characters,living characters,332.0,jul-79,1979.0
288,gina dyson (earth-616),public identity,None,None,brown hair,female characters,living characters,9.0,sep-89,1989.0
289,dean swayvrick (earth-616),public identity,neutral characters,None,black hair,male characters,deceased characters,3.0,jan-94,1994.0
290,living brain (earth-616),None,neutral characters,yellow eyes,no hair,agender characters,living characters,32.0,jan-64,1964.0
291,general obsidian (earth-616),secret identity,bad characters,black eyes,no hair,male characters,living characters,5.0,nov-94,1994.0
292,piecemeal (mutate 416) (earth-616),secret identity,bad characters,red eyes,red hair,male characters,living characters,2.0,may-93,1993.0
293,kroda (earth-616),public identity,bad characters,None,bald,male characters,living characters,12.0,aug-65,1965.0
294,edward leeds (earth-616),secret identity,neutral characters,blue eyes,brown hair,male characters,deceased characters,181.0,nov-64,1964.0
295,harvey jessup (earth-616),None,bad characters,None,grey hair,male characters,living characters,2.0,aug-86,1986.0
296,king of castle island (earth-616),secret identity,bad characters,None,brown hair,male characters,deceased characters,1.0,mar-43,1943.0
297,kamorr (earth-616),None,good characters,black eyes,brown hair,male characters,living characters,5.0,jul-72,1972.0
298,ramon de rico (earth-616),secret identity,bad characters,None,brown hair,male characters,deceased characters,9.0,apr-75,1975.0
299,nebula (earth-616),secret identity,bad characters,blue eyes,bald,female characters,living characters,56.0,jul-85,1985.0
300,number nine (earth-616),None,good characters,blue eyes,blond hair,female characters,living characters,14.0,oct-89,1989.0
301,richard dennison (earth-616),secret identity,bad characters,orange eyes,no hair,male characters,living characters,7.0,may-98,1998.0
302,joseph kragowski (earth-616),None,good characters,None,None,male characters,living characters,2.0,jul-77,1977.0
303,allatou (earth-616),None,bad characters,red eyes,green hair,female characters,living characters,7.0,oct-74,1974.0
304,umar (earth-616),public identity,bad characters,green eyes,black hair,female characters,living characters,48.0,nov-66,1966.0
305,j.r. van de kalb (earth-616),public identity,None,None,grey hair,male characters,living characters,1.0,jul-80,1980.0
306,friendless (earth-616),secret identity,bad characters,red eyes,white hair,male characters,living characters,4.0,nov-11,2011.0
307,carol harding (earth-616),no dual identity,good characters,None,None,female characters,living characters,2.0,jun-76,1976.0
308,ganymede (spinsterhood) (earth-616),secret identity,good characters,yellow eyes,black hair,female characters,living characters,12.0,may-93,1993.0
309,arrowhead (earth-616),secret identity,good characters,None,black hair,male characters,living characters,13.0,apr-54,1954.0
310,foxbat (earth-616),secret identity,None,red eyes,brown hair,male characters,deceased characters,11.0,apr-91,1991.0
311,lindsay (earth-616),public identity,None,brown eyes,brown hair,male characters,living characters,2.0,aug-07,2007.0
312,danielle forte (earth-616),secret identity,bad characters,pink eyes,no hair,female characters,living characters,9.0,oct-90,1990.0
313,mute (earth-616),secret identity,bad characters,brown eyes,bald,male characters,living characters,1.0,nov-75,1975.0
314,gilpetperdon (earth-616),secret identity,bad characters,gold eyes,gold hair,male characters,living characters,16.0,may-85,1985.0
315,ryan (earth-616),public identity,None,None,grey hair,male characters,living characters,2.0,sep-76,1976.0
316,medusalith amaquelin (earth-616),public identity,good characters,green eyes,red hair,female characters,living characters,382.0,mar-65,1965.0
317,lord i (earth-616),None,None,one eye,None,male characters,living characters,3.0,aug-74,1974.0
318,dai kumo (earth-616),None,bad characters,None,no hair,male characters,living characters,4.0,sep-90,1990.0
319,adam neramani (earth-616),secret identity,good characters,blue eyes,blond hair,male characters,living characters,21.0,oct-93,1993.0
320,wendigo (american) (earth-616),secret identity,bad characters,green eyes,white hair,None,living characters,3.0,jan-09,2009.0
321,miklos vryolak (earth-616),secret identity,None,None,brown hair,male characters,deceased characters,2.0,apr-70,1970.0
322,bull mcgiveney (earth-616),public identity,None,None,black hair,male characters,living characters,26.0,may-64,1964.0
323,meredith mccall (earth-616),secret identity,good characters,blue eyes,brown hair,female characters,living characters,14.0,aug-70,1970.0
324,general skul (earth-616),no dual identity,None,green eyes,black hair,male characters,deceased characters,6.0,sep-84,1984.0
325,joshua crown (earth-616),None,bad characters,None,None,male characters,living characters,1.0,jun-46,1946.0
326,michael d. allred (earth-616),public identity,neutral characters,None,None,male characters,living characters,2.0,None,None
327,georges tarragh (earth-616),public identity,bad characters,None,brown hair,male characters,living characters,1.0,feb-44,1944.0
328,anti-venom (symbiote) (earth-616),None,good characters,red eyes,no hair,agender characters,deceased characters,19.0,oct-08,2008.0
329,frisky martin (earth-616),public identity,bad characters,None,red hair,male characters,living characters,1.0,jan-86,1986.0
330,anthos (pheragot) (earth-616),no dual identity,None,None,black hair,male characters,living characters,1.0,dec-89,1989.0
331,big mother (earth-616),secret identity,bad characters,yellow eyes,no hair,female characters,living characters,5.0,aug-01,2001.0
332,cindy knutz (earth-616),no dual identity,good characters,blue eyes,auburn hair,female characters,living characters,4.0,aug-95,1995.0
333,adam wright (earth-616),no dual identity,neutral characters,blue eyes,black hair,male characters,living characters,2.0,jan-91,1991.0
334,blake (a.i.m.) (earth-616),secret identity,bad characters,None,black hair,male characters,deceased characters,9.0,sep-09,2009.0
335,cyrus black (earth-616),public identity,bad characters,brown eyes,black hair,male characters,living characters,5.0,jun-73,1973.0
336,jillian (earth-616),secret identity,bad characters,yellow eyes,blue hair,female characters,living characters,6.0,oct-03,2003.0
337,anna frankenstein (earth-616),no dual identity,bad characters,None,brown hair,female characters,deceased characters,1.0,jun-44,1944.0
338,ebrok (earth-616),None,None,None,None,male characters,living characters,2.0,jun-74,1974.0
339,carl burgos (earth-616),public identity,good characters,None,black hair,male characters,living characters,2.0,aug-42,1942.0
340,walter declun (earth-616),None,bad characters,None,brown hair,male characters,living characters,16.0,jul-06,2006.0
341,charlton grundge (earth-616),no dual identity,neutral characters,None,None,male characters,living characters,3.0,dec-75,1975.0
342,roger phillips (earth-616),secret identity,bad characters,None,strawberry blond hair,male characters,living characters,4.0,jan-71,1971.0
343,toro (atlantean) (earth-616),public identity,neutral characters,None,black hair,male characters,living characters,1.0,nov-40,1940.0
344,curtis carr (earth-616),secret identity,good characters,brown eyes,black hair,male characters,living characters,24.0,aug-73,1973.0
345,nina da costa (earth-616),public identity,good characters,None,red hair,female characters,living characters,9.0,sep-83,1983.0
346,bends (masked raider) (earth-616),no dual identity,bad characters,None,None,male characters,deceased characters,1.0,oct-39,1939.0
347,black knight (robot) (earth-616),None,good characters,None,None,None,living characters,3.0,mar-76,1976.0
348,general nikki (earth-616),public identity,bad characters,None,grey hair,male characters,deceased characters,1.0,sep-43,1943.0
349,grace (mannite) (earth-616),secret identity,good characters,None,blue hair,female characters,living characters,5.0,sep-99,1999.0
350,wayne logan (earth-616),None,good characters,None,None,male characters,living characters,4.0,jun-74,1974.0
351,emma frost (earth-616),public identity,neutral characters,blue eyes,brown hair,female characters,living characters,880.0,jan-80,1980.0
352,blacklash (thunderbolts) (earth-616),secret identity,bad characters,None,None,male characters,living characters,2.0,sep-06,2006.0
353,yasir (earth-616),None,bad characters,None,None,male characters,living characters,2.0,feb-88,1988.0
354,eagle (matt slade) (earth-616),public identity,good characters,None,grey hair,male characters,living characters,6.0,jul-56,1956.0
355,gunnhild (earth-616),None,good characters,None,red hair,female characters,living characters,32.0,dec-84,1984.0
